,GEOID10,excelCountyName,excelVTDId
154,37101PR29A,Johnston,PR29A
155,37101PR32,Johnston,PR32
156,37101PR29B,Johnston,PR29B
157,37101PR34,Johnston,PR34
158,37101PR11B,Johnston,PR11B
159,37101PR31B,Johnston,PR31B
160,37101PR31A,Johnston,PR31A
161,37101PR23,Johnston,PR23
162,37101PR33,Johnston,PR33
163,37101PR03,Johnston,PR03
164,37101PR17,Johnston,PR17
165,37101PR11A,Johnston,PR11A
166,37017P201,Bladen,P201
167,37017P10,Bladen,P10
168,37017P202,Bladen,P202
169,37017P40,Bladen,P40
170,37017P25,Bladen,P25
171,37017P30,Bladen,P30
172,37017P75,Bladen,P75
173,37017P60,Bladen,P60
174,37017P45,Bladen,P45
175,37017P80,Bladen,P80
176,37017P70,Bladen,P70
177,37017P15,Bladen,P15
178,37017P35,Bladen,P35
179,37017P501,Bladen,P501
180,37017P502,Bladen,P502
181,37017P65,Bladen,P65
182,37017P55,Bladen,P55
183,37087BC,Haywood,BC
184,37087CL-N,Haywood,CL-N
185,37087IH,Haywood,IH
186,37087ID,Haywood,ID
187,37087BE-2,Haywood,BE-2
188,37087JC,Haywood,JC
189,37087WS-2,Haywood,WS-2
190,37087WS-1,Haywood,WS-1
191,37087WO,Haywood,WO
192,37087WW,Haywood,WW
193,37087LJ,Haywood,LJ
194,37087AC,Haywood,AC
195,37087PC,Haywood,PC
196,37087BE-1,Haywood,BE-1
197,37087P,Haywood,P
198,37087FC-1,Haywood,FC-1
199,37087EF,Haywood,EF
200,37087CL-S,Haywood,CL-S
201,37087WE,Haywood,WE
202,37087BE56,Haywood,BE56
203,37087CE,Haywood,CE
204,37087BE-3,Haywood,BE-3
205,37087BE-7,Haywood,BE-7
206,37087HA,Haywood,HA
207,37087SA,Haywood,SA
208,37083BUTWD,Halifax,BUTWD
209,37083CONC,Halifax,CONC
210,37083ENF-1,Halifax,ENF-1
211,37083ENF-2,Halifax,ENF-2
212,37083ENF-3,Halifax,ENF-3
213,37083FAUCT,Halifax,FAUCT
214,37083HAL,Halifax,HAL
215,37083HOL,Halifax,HOL
216,37083LIT-1,Halifax,LIT-1
217,37083LIT-2,Halifax,LIT-2
218,37083RINGW,Halifax,RINGW
219,37083ROSEN,Halifax,ROSEN
220,37083RR-1,Halifax,RR-1
221,37083RR-10,Halifax,RR-10
222,37083RR-11,Halifax,RR-11
223,37083RR-2,Halifax,RR-2
224,37083RR-3,Halifax,RR-3
225,37083RR-4,Halifax,RR-4
226,37079BULL,Greene,BULL
227,37079SHIN,Greene,SHIN
228,37079WALS,Greene,WALS
229,37079CAST,Greene,CAST
230,37079BEAR,Greene,BEAR
231,37079MAUR,Greene,MAUR
232,37079SH1,Greene,SH1
233,37079SUGG,Greene,SUGG
234,37079ARBA,Greene,ARBA
235,37079HOOK,Greene,HOOK
236,37083RR-5,Halifax,RR-5
237,37083RR-6,Halifax,RR-6
238,37083RR-7,Halifax,RR-7
239,37083RR-8,Halifax,RR-8
240,37083RR-9,Halifax,RR-9
241,37083SN-1,Halifax,SN-1
242,37083SN-2,Halifax,SN-2
243,37083WEL-1,Halifax,WEL-1
244,37083WEL-2,Halifax,WEL-2
245,37083WEL-3,Halifax,WEL-3
246,37083HOB,Halifax,HOB
247,37083PAL,Halifax,PAL
248,37087CR,Haywood,CR
249,37087BE-4,Haywood,BE-4
250,37087WC,Haywood,WC
251,37087FC-2,Haywood,FC-2
252,37043BRAS,Clay,BRAS
253,37043WARN,Clay,WARN
254,37043HAY2,Clay,HAY2
255,37043HIAW,Clay,HIAW
256,37043SHCR,Clay,SHCR
257,37043TUSQ,Clay,TUSQ
258,37043SWEE,Clay,SWEE
259,37043HAY1,Clay,HAY1
260,37043HAYC,Clay,HAYC
261,37029SM,Camden,SM
262,37029SH,Camden,SH
263,37029CH,Camden,CH
264,37053CI,Currituck,CI
265,37053GW,Currituck,GW
266,37053PP,Currituck,PP
267,37053WH,Currituck,WH
268,3704910,Craven,10
269,3704912,Craven,12
270,3704921,Craven,21
271,37053KI,Currituck,KI
272,37053CH,Currituck,CH
273,37053PB,Currituck,PB
274,37053CJ,Currituck,CJ
275,37053CB,Currituck,CB
276,37053IR,Currituck,IR
277,37053MY,Currituck,MY
278,3704909,Craven,09
