Unnamed: 0_level_0,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity
VTD,Total,Male,Male %,Female,Female %,Undes.,Undes.,Total,18-25,18-25 %,26-40,26-40 %,41-65,41-65 %,66+,66+ %,Total,Hispanic,Hisp %,Non-Hisp,Non H %,Undesign.,Undes. %
10S,5026,2213,0.440310385993,2781,0.553322721846,32,0.00636689216076,5026,483,0.0961002785515,1501,0.298647035416,2300,0.457620374055,742,0.147632311978,5026,68,0.0135296458416,4069,0.809590131317,889,0.176880222841
11,2761,1277,0.462513582035,1460,0.528793915248,24,0.00869250271641,2761,282,0.102136906918,576,0.208620065194,1365,0.494386091996,538,0.194856935893,2761,19,0.00688156465049,2198,0.796088373778,544,0.197030061572
1210,1450,575,0.396551724138,871,0.600689655172,4,0.00275862068966,1450,150,0.103448275862,401,0.276551724138,631,0.435172413793,268,0.184827586207,1450,25,0.0172413793103,1160,0.8,265,0.18275862069
124,1732,754,0.435334872979,973,0.561778290993,5,0.00288683602771,1732,160,0.0923787528868,350,0.20207852194,835,0.482101616628,387,0.223441108545,1732,17,0.00981524249423,1464,0.845265588915,251,0.144919168591
125,1815,774,0.426446280992,1028,0.566391184573,13,0.00716253443526,1815,124,0.0683195592287,319,0.175757575758,754,0.415426997245,618,0.340495867769,1815,17,0.00936639118457,1533,0.844628099174,265,0.146005509642
126,1761,803,0.455990914253,952,0.540601930721,6,0.00340715502555,1761,149,0.0846110164679,219,0.124361158433,731,0.415105053947,662,0.375922771153,1761,10,0.00567859170926,1536,0.872231686542,215,0.122089721749
127,3549,1460,0.411383488307,2051,0.577909270217,38,0.0107072414765,3549,413,0.116370808679,934,0.263172724711,1572,0.442941673711,630,0.177514792899,3549,53,0.0149337841646,2510,0.707241476472,986,0.277824739363
128,1724,659,0.382250580046,1051,0.609628770302,14,0.00812064965197,1724,201,0.116589327146,477,0.276682134571,702,0.407192575406,344,0.199535962877,1724,46,0.0266821345708,1264,0.733178654292,414,0.240139211137
129,1344,573,0.426339285714,764,0.568452380952,7,0.00520833333333,1344,115,0.0855654761905,263,0.19568452381,625,0.465029761905,341,0.253720238095,1344,15,0.0111607142857,1136,0.845238095238,193,0.143601190476
12E,1407,598,0.425017768301,793,0.563610518834,16,0.0113717128643,1407,162,0.115138592751,326,0.231698649609,652,0.463397299218,267,0.189765458422,1407,48,0.0341151385928,1032,0.733475479744,327,0.232409381663
12N,3218,1326,0.412057178372,1852,0.575512740833,40,0.0124300807955,3218,302,0.0938471100062,672,0.208825357365,1424,0.442510876321,820,0.254816656308,3218,48,0.0149160969546,2198,0.683032939714,972,0.302050963331
12S,1154,468,0.40554592721,677,0.586655112652,9,0.00779896013865,1154,162,0.140381282496,335,0.290294627383,488,0.42287694974,169,0.146447140381,1154,36,0.0311958405546,809,0.701039861352,309,0.267764298094
12W,1849,824,0.445646295295,1019,0.551108707409,6,0.00324499729584,1849,175,0.0946457544619,389,0.210383991347,889,0.480800432666,396,0.214169821525,1849,17,0.00919415900487,1526,0.825310978908,306,0.165494862088
13,3007,1339,0.445294313269,1645,0.54705686731,23,0.00764881942135,3007,278,0.0924509477885,627,0.208513468573,1439,0.478550049884,663,0.220485533755,3007,41,0.013634852012,2407,0.800465580313,559,0.185899567675
B1,2631,1259,0.478525275561,1359,0.5165336374,13,0.00494108703915,2631,190,0.0722158874952,492,0.187001140251,1283,0.487647282402,666,0.253135689852,2631,3,0.00114025085519,2378,0.903838844546,250,0.095020904599
B2,3071,1455,0.473787040052,1590,0.517746662325,26,0.00846629762292,3071,258,0.0840117225659,706,0.229892543146,1534,0.499511559753,573,0.186584174536,3071,15,0.00488440247476,2759,0.898404428525,297,0.0967111690003
E,2247,1096,0.487761459724,1145,0.509568313307,6,0.00267022696929,2247,209,0.093012906097,523,0.232754784157,1073,0.477525589675,442,0.196706720071,2247,4,0.00178015131286,2053,0.913662661326,190,0.0845571873609
G1,662,348,0.525679758308,307,0.463746223565,7,0.0105740181269,662,57,0.0861027190332,159,0.240181268882,308,0.465256797583,138,0.208459214502,662,0,0.0,605,0.913897280967,57,0.0861027190332
G2,845,418,0.494674556213,423,0.500591715976,4,0.00473372781065,845,70,0.0828402366864,186,0.220118343195,420,0.497041420118,169,0.2,845,2,0.00236686390533,756,0.894674556213,87,0.102958579882
L,1068,512,0.479400749064,551,0.515917602996,5,0.00468164794007,1068,83,0.0777153558052,270,0.252808988764,511,0.478464419476,204,0.191011235955,1068,3,0.00280898876404,975,0.912921348315,90,0.0842696629213
M,1576,741,0.470177664975,823,0.522208121827,12,0.00761421319797,1576,153,0.0970812182741,447,0.283629441624,741,0.470177664975,235,0.149111675127,1576,18,0.011421319797,1395,0.885152284264,163,0.103426395939
S1,1903,925,0.486074619023,970,0.50972149238,8,0.00420388859695,1903,216,0.113504992118,419,0.220178665265,883,0.464004203889,385,0.202312138728,1903,23,0.0120861797162,1702,0.894377299002,178,0.0935365212822
S2,873,411,0.470790378007,458,0.524627720504,4,0.00458190148912,873,84,0.0962199312715,213,0.243986254296,365,0.418098510882,211,0.241695303551,873,1,0.00114547537228,781,0.89461626575,91,0.104238258877
SL,789,405,0.513307984791,378,0.479087452471,6,0.00760456273764,789,57,0.0722433460076,182,0.230671736375,384,0.486692015209,166,0.210392902408,789,4,0.00506970849176,730,0.925221799747,55,0.0697084917617
T1,1305,611,0.468199233716,687,0.526436781609,7,0.00536398467433,1305,141,0.108045977011,313,0.239846743295,610,0.467432950192,241,0.184674329502,1305,12,0.00919540229885,1159,0.888122605364,134,0.102681992337
T2,1421,657,0.462350457424,755,0.531315974666,9,0.00633356790992,1421,139,0.0978184377199,346,0.243490499648,626,0.440534834624,310,0.218156228008,1421,14,0.00985221674877,1240,0.872624912034,167,0.117522871217
T3,1181,542,0.458933107536,638,0.540220152413,1,0.000846740050804,1181,90,0.0762066045724,290,0.245554614733,516,0.436917866215,285,0.241320914479,1181,6,0.00508044030483,1044,0.88399661304,131,0.110922946655
T4,1396,636,0.45558739255,756,0.541547277937,4,0.00286532951289,1396,118,0.0845272206304,309,0.221346704871,606,0.434097421203,363,0.260028653295,1396,9,0.00644699140401,1257,0.900429799427,130,0.0931232091691
T5,899,422,0.469410456062,473,0.526140155729,4,0.00444938820912,899,75,0.083426028921,213,0.236929922136,419,0.466073414905,192,0.213570634038,899,9,0.0100111234705,808,0.898776418242,82,0.091212458287
W,1456,727,0.499313186813,724,0.497252747253,5,0.00343406593407,1456,129,0.0885989010989,320,0.21978021978,719,0.493818681319,288,0.197802197802,1456,7,0.00480769230769,1309,0.899038461538,140,0.0961538461538
01,1088,524,0.481617647059,558,0.512867647059,6,0.00551470588235,1088,81,0.0744485294118,190,0.174632352941,488,0.448529411765,329,0.302389705882,1088,5,0.00459558823529,958,0.880514705882,125,0.114889705882
02,261,130,0.498084291188,131,0.501915708812,0,0.0,261,15,0.0574712643678,38,0.145593869732,116,0.444444444444,92,0.352490421456,261,2,0.00766283524904,226,0.865900383142,33,0.126436781609
03,2819,1247,0.442355445193,1558,0.5526782547,14,0.00496630010642,2819,242,0.0858460446967,485,0.172046825115,1250,0.443419652359,842,0.298687477829,2819,40,0.0141894288755,2428,0.861298332742,351,0.124512238382
04,1307,632,0.483550114767,667,0.510328997705,8,0.00612088752869,1307,111,0.0849273144606,255,0.195103289977,602,0.460596786534,339,0.259372609028,1307,10,0.00765110941086,1108,0.847742922724,189,0.144605967865
