VR Total,VR: All Dems,VR: All Reps,VR: All Libs,VR:All Unaf.,VR:White Dems,VR: Black Dems,VR: NA Dems,VR: Asian Dems,VR: Other Dems,VR: Mult Race Ds,VR: UnDes Ds,VR: White Reps,VR: Black Reps,VR: NA Reps,VR: Asian Reps,VR: Other Reps,VR: Mult Race Rs,VR: UnDes Rs,VR: White Libs,VR: Black Libs,VR: NA Libs,VR: Asian Libs,VR: Other Libs,VR: Mult Race Ls,VR: UnDes Ls,VR: White Unafil.,VR: Black Unafil.,VR: NA Unafil.,VR: Asian Unafil.,VR: Other Unafil.,VR: Mult Race Unafil.,VR: UnDes Unafil.,% D,Racial %s among D's White % of D,Racial %s among D's Black % of D,Racial %s among D's NA   % of D,Racial %s among D's Other % of D,Racial %s among D's % R,Racial %s among R's White %  of R,Racial %s among R's Black % of R,Racial %s among R's NA  %  of R,Racial %s among R's Other % of R,Racial %s among R's % U,Racial %s among U's White % of U,Racial %s among U's Black % of U,Racial %s among U's NA   % of U,Racial %s among U's Other % of U,Racial %s among U's % L,Racial %s among U's VR: White,Racial %s among U's VR: Black,Racial %s among U's VR:  NA,Racial %s among U's VR: Asian,Racial %s among U's VR: Other,Racial %s among U's VR: Mult. Race,Racial %s among U's VR: Undes.,Racial %s among U's % White,Racial %s among U's % Black,Racial %s among U's % NA,Racial %s among U's % Other,County,excelVTDId,excelCountyName,GEOID10
2090,1105,317,6,662,753,294,3,3,20,8,24,295,8,0,1,6,1,6,4,0,0,0,1,0,1,545,51,3,3,15,9,36,0.528708133971,0.681447963801,0.266063348416,0.0027149321267,0.0497737556561,0.151674641148,0.930599369085,0.0252365930599,0.0,0.0441640378549,0.316746411483,0.823262839879,0.0770392749245,0.00453172205438,0.095166163142,0.00287081339713,1597,353,6,7,42,18,67,0.764114832536,0.168899521531,0.00287081339713,0.0641148325359,Buncombe,14.2,Buncombe,3702114.2
2118,1122,317,5,674,1046,26,0,2,20,6,22,303,4,0,1,7,0,2,5,0,0,0,0,0,0,623,6,1,2,19,7,16,0.529745042493,0.932263814617,0.0231729055258,0.0,0.0445632798574,0.149669499528,0.955835962145,0.01261829653,0.0,0.0315457413249,0.318224740321,0.924332344214,0.00890207715134,0.00148367952522,0.0652818991098,0.00236071765817,1977,36,1,5,46,13,40,0.93342776204,0.0169971671388,0.000472143531634,0.0491029272899,Buncombe,15.1,Buncombe,3702115.1
1754,851,277,5,621,765,51,0,3,5,9,18,267,1,0,1,7,0,1,4,1,0,0,0,0,0,560,18,2,1,13,5,22,0.485176738883,0.898942420682,0.0599294947121,0.0,0.0411280846063,0.157924743444,0.963898916968,0.00361010830325,0.0,0.0324909747292,0.354047890536,0.901771336554,0.0289855072464,0.00322061191626,0.0660225442834,0.00285062713797,1596,71,2,5,25,14,41,0.90992018244,0.0404789053592,0.00114025085519,0.0484606613455,Buncombe,17.1,Buncombe,3702117.1
1082,428,311,5,338,318,92,1,1,7,3,6,296,3,0,1,7,1,3,4,0,0,1,0,0,0,306,17,0,1,8,0,6,0.395563770795,0.742990654206,0.214953271028,0.00233644859813,0.0397196261682,0.287430683919,0.951768488746,0.0096463022508,0.0,0.0385852090032,0.312384473198,0.905325443787,0.0502958579882,0.0,0.0443786982249,0.00462107208872,924,112,1,4,22,4,15,0.853974121996,0.103512014787,0.000924214417745,0.0415896487985,Buncombe,19.1,Buncombe,3702119.1
972,514,143,2,313,401,85,0,1,9,7,11,135,5,0,0,1,2,0,2,0,0,0,0,0,0,267,20,0,3,12,2,9,0.528806584362,0.780155642023,0.165369649805,0.0,0.0544747081712,0.147119341564,0.944055944056,0.034965034965,0.0,0.020979020979,0.322016460905,0.85303514377,0.0638977635783,0.0,0.0830670926518,0.00205761316872,805,110,0,4,22,11,20,0.828189300412,0.11316872428,0.0,0.0586419753086,Buncombe,20.1,Buncombe,3702120.1
2226,940,647,3,636,849,58,0,3,18,0,12,627,6,1,1,7,0,5,3,0,0,0,0,0,0,578,15,0,3,23,4,13,0.422282120395,0.903191489362,0.0617021276596,0.0,0.0351063829787,0.290655884996,0.969088098918,0.00927357032457,0.0015455950541,0.0200927357032,0.285714285714,0.908805031447,0.0235849056604,0.0,0.0676100628931,0.00134770889488,2057,79,1,7,48,4,30,0.924079065588,0.0354896675651,0.000449236298293,0.0399820305481,Buncombe,24.1,Buncombe,3702124.1
2485,1127,580,5,773,957,117,3,3,19,7,21,557,6,1,3,5,1,7,4,0,0,0,0,0,1,694,24,3,6,22,5,19,0.453521126761,0.849157054126,0.103815439219,0.00266193433895,0.0443655723159,0.233400402414,0.960344827586,0.0103448275862,0.00172413793103,0.0275862068966,0.31106639839,0.897800776197,0.0310478654592,0.00388098318241,0.0672703751617,0.00201207243461,2212,147,7,12,46,13,48,0.89014084507,0.0591549295775,0.00281690140845,0.0478873239437,Buncombe,25.1,Buncombe,3702125.1
1599,770,290,4,535,654,70,2,2,21,10,11,271,1,0,1,8,1,8,4,0,0,0,0,0,0,474,20,2,1,15,5,18,0.481550969356,0.849350649351,0.0909090909091,0.0025974025974,0.0571428571429,0.181363352095,0.934482758621,0.00344827586207,0.0,0.0620689655172,0.334584115072,0.885981308411,0.0373831775701,0.00373831775701,0.0728971962617,0.00250156347717,1403,91,4,4,44,16,37,0.877423389619,0.0569105691057,0.00250156347717,0.0631644777986,Buncombe,26.1,Buncombe,3702126.1
2756,1418,283,19,1036,1247,73,2,8,34,17,37,272,2,1,1,2,0,5,19,0,0,0,0,0,0,879,26,2,13,37,15,64,0.514513788099,0.879407616361,0.0514809590973,0.00141043723554,0.0677009873061,0.102685050798,0.961130742049,0.00706713780919,0.00353356890459,0.0282685512367,0.375907111756,0.848455598456,0.0250965250965,0.0019305019305,0.124517374517,0.00689404934688,2417,101,5,22,73,32,106,0.876995645864,0.0366473149492,0.00181422351234,0.0845428156749,Buncombe,28.1,Buncombe,3702128.1
3782,1243,1418,8,1113,1111,76,2,4,29,5,16,1367,5,2,4,21,0,19,8,0,0,0,0,0,0,1037,17,5,4,32,1,17,0.328662083554,0.893805309735,0.0611423974256,0.00160901045857,0.0434432823813,0.374933897409,0.964033850494,0.00352609308886,0.00141043723554,0.0310296191819,0.294288736118,0.931716082659,0.015274034142,0.00449236298293,0.0485175202156,0.00211528291909,3523,98,9,12,82,6,52,0.931517715494,0.0259122157589,0.00237969328398,0.0401903754627,Buncombe,30.1,Buncombe,3702130.1
