,low,high,length
152,3718913,3718912,8494.36923715
153,3718913,3718915,6470.41772788
154,3718913,3718919,3242.94706461
155,3718913,3718907,19769.3473162
156,3718913,3718906,259.544424776
157,3718917,3718920,7167.39417991
158,3718917,3718919,31245.9655014
159,3718917,3718910,16730.0613271
160,3718917,3701102,12730.2308236
161,3718909,3718915,7350.94362999
162,3718909,3718918,39877.9106821
163,3718909,37193113,1952.17099655
164,3718909,37193109,10847.8369878
165,3718912,3718905,3485.10434981
166,3718912,3718907,1936.01989262
167,3718912,3718906,6579.41193207
168,3718905,3718915,477.497332714
169,3718905,3718914,2381.37006944
170,3718905,3718907,8349.35809934
171,3718905,3718906,6222.99366333
172,3718915,3718914,26484.5854217
173,3718915,3718918,4081.41586388
174,3718915,3718906,1933.12758007
175,3718920,3718910,18507.5979632
176,3718920,3701103,180.116852143
177,3718920,3701102,23418.6236628
178,3718919,3718907,24021.1146662
179,3718919,3718910,15329.559964
180,3718919,3701102,3524.50936662
181,3718919,3701111,1355.33267994
182,3718919,37027PR07,11530.6372381
183,3718914,3718907,21060.1157059
184,3718914,3718918,6673.62141603
185,3718914,3718911,49516.6607001
186,3718914,3718901,757.435551324
187,3718914,3718908,126.051844474
188,3718907,3718910,3779.26387778
189,3718907,3718908,22144.4853268
190,3718918,3718901,9979.45738982
191,3718918,37193110,8766.89882182
192,3718918,37193113,14290.8750642
193,3718918,3700904,5182.35688624
194,3718918,3700916,27521.5426093
195,3718910,3718908,10170.9292247
196,3718910,3718902,35264.5693653
197,3718910,3701103,14264.7763147
198,3718911,3718901,22641.2087419
199,3718911,3718908,21172.7693569
200,3718911,3718916,20509.3488064
201,3718901,3718916,8465.92546581
202,3718901,3700904,23265.6741874
203,3718901,3700903,2810.83103362
204,3718908,3718902,18527.4346718
205,3718908,3718916,398.922732855
206,3718902,3701103,9556.00318334
207,3718916,3700912,28395.8273875
208,3718916,3700903,5371.52365879
209,3701112,3701105,13122.5200904
210,3701112,3701109,3414.90933485
211,3701112,3701119,4530.23019886
212,3701112,3701114,7558.47917919
213,3701112,3701115,4794.18230592
214,3701112,3701107,10768.4105825
215,3701101,3701109,6812.22306812
216,3701101,3701118,21882.6677213
217,3701101,3701110,12213.8120417
218,3701101,3701116,15729.8628001
219,3701101,3701115,3249.49255961
220,3701101,37111N.COVE,5096.040064
221,3701101,370230018,16228.8422691
222,3701103,3701102,17397.9802491
223,3701103,3701106,8879.28791478
224,3701103,3701108,7000.68470546
225,3701102,3701105,5604.24160542
226,3701102,3701108,13941.7440346
227,3701102,3701114,6434.60633993
228,3701102,3701113,16619.0072163
229,3701102,3701111,21521.7500609
230,37033PELH,37033LOCU,58476.8317059
231,37033PELH,37033PROVI,33313.4668002
232,37033PELH,37033YAN2,0.0
233,37033PELH,37033MILT,28382.4617526
234,37033PELH,37157LI,9148.45534398
235,37033LOCU,37033PROVI,0.0
236,37033LOCU,37033STON,50244.1922492
237,37033LOCU,37033YAN2,14519.2578182
238,37033LOCU,37033YAN4,6355.18584472
239,37033LOCU,37157WM,2532.43782055
240,37033LOCU,37157LI,3283.6035624
241,37033LOCU,37157RD-1,538.793722763
242,37033PROVI,37033YAN2,27022.1880827
243,37033PROVI,37033MILT,18307.8979033
244,37033STON,37033YAN4,1536.80525078
245,37033STON,37033ANDE,2517.1401257
246,37033STON,3700104,32627.5314188
247,37033STON,3700105,17718.2050905
248,37033STON,37157WM,7837.75610137
249,37033YAN2,37033YAN4,46041.492455
250,37033YAN2,37033MILT,23635.0220299
251,37033YAN2,37033LEAS,8339.12080966
252,37033YAN2,37033HIGH,24728.8914866
