GEOID10,g2012_USH_dv,g2012_USH_rv,g2012_USH_tv,STATEFP10,COUNTYFP10,VTDST10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND,AWATER,INTPTLAT10,INTPTLON10,VTD,ID,population,aframcon,hispcon,mincon,percentDem,percentRep,percentOther,DemPercentWhite,DemPercentBlack,DemPercentAsian,DemPercentOther,RepPercentWhite,RepPercentBlack,RepPercentAsian,RepPercentOther,repPop,demPop,hispPop,aframPop,numAdjacent,totalBorder
37013WDPD,245,795,1040,37,13,WDPD,P,WDPD,Voting District WDPD,V1,G5240,S,64761463.0,8614391.0,35.5044036,-76.9172951,37013WDPDWDPD,2087,2040,0.0941176470588,0.0397058823529,0.133823529412,0.361152141802,0.394387001477,0.244460856721,0.815950920245,0.165644171779,0.0,0.0184049079755,0.994382022472,0.00187265917603,0.0,0.00374531835206,804.549483013,736.750369276,80.9999999999,192.0,8,106752.530836
37013WASHP,262,631,893,37,13,WASHP,P,WASHP,Voting District WASHP,V1,G5240,S,8431488.0,2191252.0,35.5302913,-77.0020275,37013WASHPWASHP,2088,1712,0.213785046729,0.127920560748,0.341705607477,0.497520661157,0.309917355372,0.192561983471,0.642857142857,0.34219269103,0.0,0.014950166113,0.96,0.0213333333333,0.0,0.0186666666667,530.578512397,851.755371901,219.000000001,366.0,5,51078.9971385
3700506,153,267,420,37,5,06,P,06,Voting District 06,V1,G5240,S,79021028.0,122557.0,36.4867041,-81.24398,370050606,2089,869,0.00115074798619,0.0460299194476,0.0471806674338,0.461267605634,0.338028169014,0.200704225352,0.984732824427,0.00381679389313,0.0,0.0114503816794,1.0,0.0,0.0,0.0,293.746478873,400.841549296,40.0,0.999999999999,6,112502.655267
3700505,171,227,398,37,5,05,P,05,Voting District 05,V1,G5240,S,73611066.0,943611.0,36.5516577,-81.2746193,370050505,2090,858,0.0104895104895,0.0885780885781,0.0990675990676,0.464957264957,0.319658119658,0.215384615385,0.963235294118,0.0,0.0,0.0367647058824,0.973262032086,0.0,0.0,0.0267379679144,274.266666667,398.933333333,76.0,8.99999999999,3,70412.1956504
3700501,277,526,803,37,5,01,P,01,Voting District 01,V1,G5240,S,105086841.0,400439.0,36.4363029,-81.019138,370050101,2091,1528,0.0032722513089,0.0379581151832,0.0412303664921,0.364889705882,0.382352941176,0.252757352941,0.972292191436,0.0226700251889,0.0,0.00503778337531,0.985576923077,0.0,0.0,0.0144230769231,584.235294118,557.551470588,57.9999999999,5.0,6,126988.809943
3700503,807,1048,1855,37,5,03,P,03,Voting District 03,V1,G5240,S,124781368.0,1587609.0,36.5463839,-81.1080153,370050303,2092,4474,0.0274921770228,0.121591417076,0.149083594099,0.528910961334,0.26321390564,0.207875133026,0.95640509725,0.0315224681422,0.0,0.0120724346076,0.977088948787,0.0,0.0,0.0229110512129,1177.61901383,2366.34764101,543.999999998,123.0,5,103300.816461
3700504,304,611,915,37,5,04,P,04,Voting District 04,V1,G5240,S,102321110.0,690487.0,36.5200905,-80.9775737,370050404,2093,1991,0.0105474635861,0.109994977398,0.120542440984,0.460596786534,0.340474368783,0.198928844682,0.963455149502,0.014950166113,0.0,0.0215946843854,0.995505617978,0.00224719101124,0.0,0.00224719101124,677.884468248,917.048201989,218.999999999,20.9999999999,4,77581.9157119
3700502,51,135,186,37,5,02,P,02,Voting District 02,V1,G5240,S,61996351.0,5293.0,36.4190243,-81.2258607,370050202,2094,375,0.016,0.0986666666667,0.114666666667,0.486590038314,0.375478927203,0.137931034483,0.976377952756,0.00787401574803,0.0,0.0157480314961,1.0,0.0,0.0,0.0,140.804597701,182.471264368,37.0,6.0,5,85281.9295764
3700507,147,275,422,37,5,07,P,07,Voting District 07,V1,G5240,S,61985293.0,102983.0,36.4599771,-81.1313929,370050707,2095,1060,0.00471698113208,0.0283018867925,0.0330188679246,0.432809773124,0.326352530541,0.240837696335,0.995967741935,0.00403225806452,0.0,0.0,0.994652406417,0.0,0.0,0.00534759358289,345.933682373,458.778359511,30.0000000001,5.0,6,107271.821608
3716104A,440,955,1395,37,161,04A,P,04A,Voting District 04A,V1,G5240,S,171584179.0,342834.0,35.4711345,-81.9169523,3716104A04A,2096,3398,0.0809299587993,0.025014714538,0.105944673337,0.398826979472,0.370478983382,0.230694037146,0.814950980392,0.170343137255,0.0,0.0147058823529,0.969656992084,0.00527704485488,0.0065963060686,0.0184696569921,1258.88758553,1355.21407625,85.0000000001,275.0,7,174109.446476
