GEOID,IDNUM
420032740HARRISON TWP WD 03 DIST 02,146
420032750HARRISON TWP WD 04 DIST 01,147
420033980MILLVALE DIST 04,148
420033990MILLVALE DIST 05,149
420034010MONROEVILLE WD 01 DIST 01,150
420034020MONROEVILLE WD 01 DIST 02,151
420034030MONROEVILLE WD 01 DIST 03,152
420034031MONROEVILLE WD 01 DIST 04,153
420034040MONROEVILLE WD 02 DIST 01,154
420034050MONROEVILLE WD 02 DIST 02,155
420034060MONROEVILLE WD 02 DIST 03,156
420034070MONROEVILLE WD 03 DIST 01,157
420034080MONROEVILLE WD 03 DIST 02,158
420034090MONROEVILLE WD 03 DIST 03,159
420035241O HARA TWP WD 04 DIST 02,160
420035271O HARA TWP WD 05 DIST 01,161
420035281O HARA TWP WD 05 DIST 02,162
420035291OAKDALE DIST 01,163
420035301OAKDALE DIST 02,164
420035310OAKMONT DIST 01,165
420035750PENN HILLS TWP WD 09 DIST 03,166
420035760PENN HILLS TWP WD 09 DIST 04,167
420035770PENN HILLS TWP WD 09 DIST 05,168
420036000PITTSBURGH WD 03 DIST 04,169
420036020PITTSBURGH WD 03 DIST 05,170
420036090PITTSBURGH WD 04 DIST 01,171
420036110PITTSBURGH WD 04 DIST 02,172
420036130PITTSBURGH WD 04 DIST 03,173
420038910PITTSBURGH WD 13 DIST 09,174
420038930PITTSBURGH WD 13 DIST 10,175
420038950PITTSBURGH WD 13 DIST 11,176
420038970PITTSBURGH WD 13 DIST 12,177
420038990PITTSBURGH WD 13 DIST 13,178
420039010PITTSBURGH WD 13 DIST 14,179
420039030PITTSBURGH WD 13 DIST 15,180
420039050PITTSBURGH WD 13 DIST 16,181
420039070PITTSBURGH WD 13 DIST 17,182
42003B410PITTSBURGH WD 19 DIST 28,183
42003B430PITTSBURGH WD 19 DIST 29,184
42003B450PITTSBURGH WD 19 DIST 30,185
42003B470PITTSBURGH WD 19 DIST 31,186
42003B480PITTSBURGH WD 19 DIST 32,187
42003B490PITTSBURGH WD 19 DIST 33,188
42003B500PITTSBURGH WD 19 DIST 34,189
42003C860PITTSBURGH WD 27 DIST 01,190
42003C880PITTSBURGH WD 27 DIST 02,191
42003C900PITTSBURGH WD 27 DIST 03,192
42003C920PITTSBURGH WD 27 DIST 04,193
42003C940PITTSBURGH WD 27 DIST 05,194
42003C960PITTSBURGH WD 27 DIST 06,195
42003C980PITTSBURGH WD 27 DIST 07,196
42003E891SCOTT TWP WD 05 DIST 01,197
42003E901SCOTT TWP WD 05 DIST 02,198
42003E940SCOTT TWP WD 06 DIST 01,199
42003E931SCOTT TWP WD 06 DIST 02,200
42003E950SCOTT TWP WD 07 DIST 01,201
42003G082UPPER ST. CLAIR TWP WD 01 DIST 04,202
42003G090UPPER ST. CLAIR TWP WD 02 DIST 01,203
42003G100UPPER ST. CLAIR TWP WD 02 DIST 02,204
42003G110UPPER ST. CLAIR TWP WD 02 DIST 03,205
42003G111UPPER ST. CLAIR TWP WD 02 DIST 04,206
42003542BETHEL PARK WD 05 DIST 03,207
42003551BETHEL PARK WD 06 DIST 01,208
42003562BETHEL PARK WD 06 DIST 02,209
42003565BETHEL PARK WD 06 DIST 03,210
42003571BETHEL PARK WD 07 DIST 01,211
42003576BETHEL PARK WD 07 DIST 02,212
420031570DORMONT DIST 06,213
420031580DORMONT DIST 07,214
420031590DORMONT DIST 08,215
420031600DORMONT DIST 09,216
420031610DORMONT DIST 10,217
420031641DRAVOSBURG DIST 01,218
420031670DRAVOSBURG DIST 02,219
420031660DRAVOSBURG DIST 03,220
420031680DUQUESNE WD 01 DIST 01,221
420031690DUQUESNE WD 01 DIST 02,222
420032760HARRISON TWP WD 04 DIST 02,223
420032770HARRISON TWP WD 05 DIST 01,224
420032780HARRISON TWP WD 05 DIST 02,225
420032790HAYSVILLE,226
420032801HEIDELBERG DIST 01,227
420034100MONROEVILLE WD 03 DIST 04,228
420034110MONROEVILLE WD 04 DIST 01,229
420034120MONROEVILLE WD 04 DIST 02,230
420034130MONROEVILLE WD 04 DIST 03,231
420034140MONROEVILLE WD 05 DIST 01,232
420034150MONROEVILLE WD 05 DIST 02,233
420034160MONROEVILLE WD 05 DIST 03,234
420035321OAKMONT DIST 02,235
420035331OAKMONT DIST 03,236
420035341OAKMONT DIST 04,237
