,ShortName,LongName
40,B23025e1,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER - Universe:  Population 16 years and over - Total: -- (Estimate)
41,B25001e1,HOUSING UNITS - Universe:  Housing units - Total: -- (Estimate)
42,B25002e1,OCCUPANCY STATUS - Universe:  Housing units - Total: -- (Estimate)
43,B25003e1,TENURE - Universe:  Occupied housing units - Total: -- (Estimate)
44,B25004e1,VACANCY STATUS - Universe:  Vacant housing units - Total: -- (Estimate)
45,B25006e1,RACE OF HOUSEHOLDER - Universe:  Occupied housing units - Total: -- (Estimate)
46,B25010e1,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE - Universe:  Occupied housing units - Total: -- (Estimate)
47,B25014e1,TENURE BY OCCUPANTS PER ROOM - Universe:  Occupied housing units - Total: -- (Estimate)
48,B25017e1,ROOMS - Universe:  Housing units - Total: -- (Estimate)
49,B25018e1,MEDIAN NUMBER OF ROOMS - Universe:  Housing units - Median number of rooms -- (Estimate)
50,B25024e1,UNITS IN STRUCTURE - Universe:  Housing units - Total: -- (Estimate)
51,B25034e1,YEAR STRUCTURE BUILT - Universe:  Housing units - Total: -- (Estimate)
52,B25035e1,MEDIAN YEAR STRUCTURE BUILT - Universe:  Housing units - Median year structure built -- (Estimate)
53,B25040e1,HOUSE HEATING FUEL - Universe:  Occupied housing units - Total: -- (Estimate)
54,B25041e1,BEDROOMS - Universe:  Housing units - Total: -- (Estimate)
55,B25044e1,TENURE BY VEHICLES AVAILABLE - Universe:  Occupied housing units - Total: -- (Estimate)
56,B25047e1,PLUMBING FACILITIES FOR ALL HOUSING UNITS - Universe:  Housing units - Total: -- (Estimate)
57,B25051e1,KITCHEN FACILITIES FOR ALL HOUSING UNITS - Universe:  Housing units - Total: -- (Estimate)
58,B25056e1,CONTRACT RENT - Universe:  Renter-occupied housing units - Total: -- (Estimate)
59,B25061e1,"RENT ASKED - Universe:  Vacant-for-rent and rented, not occupied housing units - Total: -- (Estimate)"
60,B25063e1,GROSS RENT - Universe:  Renter-occupied housing units - Total: -- (Estimate)
61,B25064e1,MEDIAN GROSS RENT (DOLLARS) - Universe:  Renter-occupied housing units paying cash rent - Median gross rent -- (Estimate)
62,B25075e1,VALUE - Universe:  Owner-occupied housing units - Total: -- (Estimate)
63,B25077e1,MEDIAN VALUE (DOLLARS) - Universe:  Owner-occupied housing units - Median value (dollars) -- (Estimate)
64,B25081e1,MORTGAGE STATUS - Universe:  Owner-occupied housing units - Total: -- (Estimate)
65,B25085e1,"PRICE ASKED - Universe:  Vacant-for-sale-only and sold, not occupied housing units - Total: -- (Estimate)"
66,B25087e1,MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS - Universe:  Owner-occupied housing units - Total: -- (Estimate)
67,C17002e1,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS - Universe:  Population for whom poverty status is determined - Total: -- (Estimate)
68,C24010e1,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER - Universe:  Civilian employed population 16 years and over - Total: -- (Estimate)
69,C25095e1,HOUSEHOLD INCOME BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Universe:  Owner-occupied housing units - Total: -- (Estimate)
