,GEOID10,ALAND10,AWATER10,POP100,POPMALE,POPFEMALE,POP1RACE,POPWHITE,POPBLACK,POPAMERIND,POPASIAN,POPPACIFIC,POPOTHER,POPMULTRAC,POPHISP,PERIM
0,330039558002243,5484.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1191.28026826
0,330039558002212,5131.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,777.288774548
0,330039558002131,45919.0,0.0,6,5,1,6,6,0,0,0,0,0,0,0,3609.74546121
0,330039558002145,12422.0,0.0,2,1,1,2,2,0,0,0,0,0,0,0,2960.23433565
0,330039558002116,4709.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1313.71182404
0,330039558002133,887.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,330.000337101
0,330039558002237,6366.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1197.47528944
0,330039558002015,4878.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1124.42536739
0,330039558002163,0.0,157625.0,0,0,0,0,0,0,0,0,0,0,0,0,5133.01736764
0,330039558002041,68596.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4368.54738415
0,330039558002101,10088.0,0.0,6,2,4,6,6,0,0,0,0,0,0,0,1320.93237155
0,330039558002057,42392.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4015.43079917
0,330039558002134,0.0,38314.0,0,0,0,0,0,0,0,0,0,0,0,0,7710.07525928
0,330039558002154,263506.0,0.0,22,12,10,22,22,0,0,0,0,0,0,0,6697.2994815
0,330039558002193,0.0,106433.0,0,0,0,0,0,0,0,0,0,0,0,0,10418.9344073
0,330039558002239,4735.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1158.33334929
0,330039563004067,303362.0,0.0,25,10,15,25,21,0,0,4,0,0,0,0,9970.30118907
0,330039563004046,26106.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2882.65708548
0,330039563001012,23901.0,0.0,2,1,1,2,2,0,0,0,0,0,0,0,2996.56540811
0,330039563002106,14784.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1644.46556009
0,330039563002112,15950.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,1505.27231902
0,330039563002118,32176.0,0.0,8,4,4,6,6,0,0,0,0,0,2,0,2708.50912587
0,330039563002121,37284.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2940.54779684
0,330039563001024,663738.0,0.0,8,4,4,8,8,0,0,0,0,0,0,0,11991.8628899
