,lo,hi,length
138,33005KEEN01,33005KEEN03,3919.63286179
139,33005KEEN01,33005SWAN01,2308160.986
140,33005KEEN01,33005MRLB01,283094.794391
141,33005KEEN05,33005KEEN03,2577677.96233
142,33005KEEN05,33005KEEN04,2218654.39762
143,33005KEEN05,33005SURR01,555644.063232
144,33005KEEN05,33005WEST01,1429322.60639
145,33005KEEN05,33005CHES01,683146.221383
146,33005KEEN05,33005SWAN01,1283732.95225
147,33005KEEN03,33005KEEN04,1388486.98735
148,33005KEEN03,33005GILS01,14240.4835546
149,33005KEEN03,33005SURR01,896207.473708
150,33005WALP01,33005ALST01,2977100.86003
151,33005WALP01,33005SURR01,1151295.22866
152,33005WALP01,33005WEST01,2082274.1733
153,33005WALP01,33019CHAR01,425355.133702
154,33005WALP01,33019LANG01,1742680.08972
155,33005ALST01,33005MRLW01,4200445.7322
156,33005ALST01,33005GILS01,1370289.67188
157,33005ALST01,33005SURR01,1074927.66744
158,33005ALST01,33019LANG01,1669059.06311
159,33005ALST01,33019ACWO01,1467640.39172
160,33005MRLW01,33005STOD01,1208902.89715
161,33005MRLW01,33005GILS01,1033562.95681
162,33005MRLW01,33019ACWO01,896854.447285
163,33005MRLW01,33019LEMP01,1330995.82687
164,33005MRLW01,33019WASH01,1141699.93771
165,33005STOD01,33005GILS01,490583.659383
166,33005STOD01,33005SULL01,1126212.34716
167,33005STOD01,33005NELS01,2805676.4059
168,33005STOD01,33011WNDS01,1084635.40326
169,33005STOD01,33011ANTR01,1339593.47364
170,33005STOD01,33019WASH01,5871125.63055
171,33005GILS01,33005SURR01,1584729.62563
172,33005GILS01,33005SULL01,3808474.50388
173,33005SURR01,33005WEST01,806814.76412
174,33005WEST01,33005CHES01,6648800.41852
175,33005CHES01,33005HINS01,1640527.43677
176,33005CHES01,33005WINC01,3684905.49699
177,33005CHES01,33005SWAN01,1572219.04003
178,33005HINS01,33005WINC01,2641460.76505
179,33005WINC01,33005SWAN01,3643046.8406
180,33005WINC01,33005RICH01,2001311.83312
181,33005SWAN01,33005RICH01,1872117.42248
182,33005SWAN01,33005TROY01,1422430.75298
183,33005SWAN01,33005MRLB01,1209901.73442
184,33005RICH01,33005FITZ01,1525879.68816
185,33005RICH01,33005TROY01,811121.685901
186,33005FITZ01,33005TROY01,4129699.74974
187,33005FITZ01,33005JAFF01,1154649.4564
188,33005FITZ01,33005RIND01,1610523.4772
189,33005TROY01,33005MRLB01,2124218.40029
190,33005TROY01,33005JAFF01,757418.92955
191,33005MRLB01,33005ROXB01,1413107.58872
192,33005MRLB01,33005HARR01,209620.196941
193,33005MRLB01,33005DUBL01,1314534.48611
194,33005MRLB01,33005JAFF01,1093946.98659
195,33005ROXB01,33005SULL01,1088789.0662
196,33005ROXB01,33005NELS01,703010.469392
197,33005ROXB01,33005HARR01,747237.34882
198,33005SULL01,33005NELS01,829506.103318
199,33005NELS01,33005HARR01,2413042.25995
200,33005NELS01,33011ANTR01,283214.562586
201,33005NELS01,33011HANC01,1614247.98524
202,33005HARR01,33005DUBL01,6504699.4018
203,33005HARR01,33011HANC01,1874398.22973
204,33005HARR01,33011PETE01,239976.517687
205,33005DUBL01,33005JAFF01,3081106.26166
206,33005DUBL01,33011PETE01,1119558.00501
207,33005JAFF01,33005RIND01,4902007.04809
208,33005JAFF01,33011SHAR01,921666.739832
209,33005JAFF01,33011PETE01,647813.236956
210,33005RIND01,33011SHAR01,617490.705618
211,33005RIND01,33011NIPS01,1552566.80337
212,33007BERL01,33007BERL03,474253.251597
213,33007BERL01,33007BERL02,1942761.56106
214,33007BERL01,33007BERL04,229775.996563
215,33007BERL01,33007MILA01,2457344.66698
216,33007BERL01,33007KILK01,1569462.49897
217,33007BERL01,33007RAND01,2935089.28231
218,33007BERL01,33007GORH01,1279528.07846
219,33007BERL03,33007BERL02,2611688.30507
220,33007BERL03,33007BERL04,562270.780562
221,33007BERL03,33007SUCC01,612855.88354
222,33007BERL03,33007MILA01,2404856.43929
223,33007BERL02,33007BERL04,335831.134895
224,33007CRAW01,33007CHAN01,237262.549526
225,33007CRAW01,33007BGRT01,1152617.4587
226,33007CRAW01,33007LOWB01,1109171.96398
227,33007CRAW01,33007CARR01,1899083.26119
228,33007CHAN01,33007BGRT01,759633.279765
229,33007CHAN01,33007CUTT01,175312.686607
230,33007CHAN01,33007SARG01,1041278.73729
231,33007CHAN01,33007THOM01,402852.47062
232,33007CHAN01,33007LOWB01,184437.595196
233,33007BGRT01,33007CUTT01,923690.336963
234,33007BGRT01,33007CARR01,387844.902337
235,33007CUTT01,33007SARG01,3339032.58681
236,33007CUTT01,33007HADL01,1111365.91534
237,33007SARG01,33007HADL01,1931911.31501
238,33007SARG01,33007PINK01,1057543.52812
239,33007SARG01,33007THOM01,2398135.33923
240,33007BERL04,33007SUCC01,469151.862845
241,33007BERL04,33007GORH01,533179.503718
242,33007PITB01,33007CLAR01,13419335.3879
243,33007PITB01,33007ATGT01,2424674.32644
244,33007CLAR01,33007STEW01,8341713.42935
245,33007CLAR01,33007DIXV01,1349905.06944
